id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
555	ridha (2020)	"<table><tr><td>Authors:</td><td>ridha, hussein mohammed; gomes, chandima; hizam, hashim</td></tr><tr><td>Title:</td><td>estimation of photovoltaic module model’s parameters using an improved electromagnetic-like algorithm</td></tr><tr><td>Source:</td><td>neural computing and applications, nan</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1007/s00521-020-04714-z	0.4524	-0.2059	17	9	2	3.6604	2020	2	3.6604
575	li (2020a)	"<table><tr><td>Authors:</td><td>li, dan; zhu, delan; wang, ruixin; ge, maosheng; wu, shoujun; cai, yaohui</td></tr><tr><td>Title:</td><td>sizing optimization and experimental verification of a hybrid generation water pumping system in a greenhouse</td></tr><tr><td>Source:</td><td>mathematical problems in engineering, 2020</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1155/2020/3194196	1.0589	0.1284	4	3	0	0	2020	0	0
577	henao-bravo (2020)	"<table><tr><td>Authors:</td><td>henao-bravo, elkin edilberto; ramos-paja, carlos andrés; saavedra-montes, andrés julián; gonzález-montoya, daniel; sierra-pérez, julián</td></tr><tr><td>Title:</td><td>design method of dual active bridge converters for photovoltaic systems with high voltage gain</td></tr><tr><td>Source:</td><td>energies, 13</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.3390/en13071711	0.5694	-0.0993	41	3	0	0	2020	0	0
600	babaei (2020)	"<table><tr><td>Authors:</td><td>babaei, s. milad; yahyazadeh, meisam; fatehi marj, hassan</td></tr><tr><td>Title:</td><td>novel mppt for linear-rotational sun-tracking system using fractional fuzzy grey-based sliding mode control</td></tr><tr><td>Source:</td><td>iranian journal of science and technology - transactions of electrical engineering, nan</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1007/s40998-020-00324-6	0.5287	-0.1218	44	2	0	0	2020	0	0
622	franco (2020)	"<table><tr><td>Authors:</td><td>franco, b. m.; hernández-callejo, l.; navas-gracia, l. m.</td></tr><tr><td>Title:</td><td>virtual weather stations for meteorological data estimations</td></tr><tr><td>Source:</td><td>neural computing and applications, nan</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1007/s00521-020-04727-8	-0.3052	0.3683	14	2	0	0	2020	0	0
623	correa-jullian (2020)	"<table><tr><td>Authors:</td><td>correa-jullian, camila; cardemil, josé miguel; lópez droguett, enrique; behzad, masoud</td></tr><tr><td>Title:</td><td>assessment of deep learning techniques for prognosis of solar thermal systems</td></tr><tr><td>Source:</td><td>renewable energy, 145</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.renene.2019.07.100	-0.346	0.2645	5	3	2	3.6604	2020	2	3.6604
677	zhang (2020c)	"<table><tr><td>Authors:</td><td>zhang, guoping; wang, weijun; du, jie; liu, hua</td></tr><tr><td>Title:</td><td>a multiobjective optimal operation of a stand-alone microgrid using sapso algorithm</td></tr><tr><td>Source:</td><td>journal of electrical and computer engineering, 2020</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1155/2020/6042105	1.0754	0.1249	4	3	0	0	2020	0	0
713	gnetchejo (2019)	"<table><tr><td>Authors:</td><td>gnetchejo, patrick juvet; ndjakomo essiane, salomé; ele, pierre; wamkeue, rené; mbadjoun wapet, daniel; perabi ngoffe, steve</td></tr><tr><td>Title:</td><td>reply to comment on “important notes on parameter estimation of solar photovoltaic cell”, by gnetchejo et al. [energy conversion and management, https://doi.org/10.1016/j.enconman.2019.111870.]</td></tr><tr><td>Source:</td><td>energy conversion and management, 201</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.enconman.2019.112132	0.4852	-0.1115	2	3	1	0.4545	2019	1	0.4545
716	cheng (2019)	"<table><tr><td>Authors:</td><td>cheng, gang; song, shaojian; lin, yuzhang; huang, qingbao; lin, xiaofeng; wang, fei</td></tr><tr><td>Title:</td><td>enhanced state estimation and bad data identification in active power distribution networks using photovoltaic power forecasting</td></tr><tr><td>Source:</td><td>electric power systems research, 177</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.epsr.2019.105974	-0.1094	0.1567	18	3	1	0.4545	2019	1	0.4545
750	herrando (2019)	"<table><tr><td>Authors:</td><td>herrando, maría; pantaleo, antonio m.; wang, kai; markides, christos n.</td></tr><tr><td>Title:</td><td>solar combined cooling, heating and power systems based on hybrid pvt, pv or solar-thermal collectors for building applications</td></tr><tr><td>Source:</td><td>renewable energy, 143</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.renene.2019.05.004	-0.4123	-0.3877	34	5	23	10.453	2019	23	10.453
763	stavrakas (2019)	"<table><tr><td>Authors:</td><td>stavrakas, vassilis; papadelis, sotiris; flamos, alexandros</td></tr><tr><td>Title:</td><td>an agent-based model to simulate technology adoption quantifying behavioural uncertainty of consumers</td></tr><tr><td>Source:</td><td>applied energy, 255</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.apenergy.2019.113795	-1.3903	-0.4497	1	3	6	2.7269	2019	6	2.7269
789	victoria (2019)	"<table><tr><td>Authors:</td><td>victoria, marta; zhu, kun; brown, tom; andresen, gorm b.; greiner, martin</td></tr><tr><td>Title:</td><td>the role of storage technologies throughout the decarbonisation of the sector-coupled european energy system</td></tr><tr><td>Source:</td><td>energy conversion and management, 201</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.enconman.2019.111977	-0.5149	1.2115	31	3	5	2.2724	2019	5	2.2724
